Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.237546920776367,24.705316407099893,23.798596738180272,24.694231148773138,212818400
2015-01-05,23.554738998413086,24.0867993234754,23.368518814896508,24.006990190147395,257142000
2015-01-06,23.55695915222168,23.816338020280458,23.19560061965636,23.61903255400942,263188400
2015-01-07,23.887277603149414,23.98703817877105,23.65450067153463,23.765346507280103,160423600
2015-01-08,24.805084228515625,24.862724544218292,24.097887162827078,24.215385184821525,237458000
2015-01-09,24.831684112548828,25.106581306246863,24.432638435105563,24.977999733362566,214798000
2015-01-12,24.219812393188477,24.969129549868345,24.120051828758882,24.962479071089444,198603200
2015-01-13,24.434858322143555,25.006823287798543,24.14444274972402,24.70310506385616,268367600
2015-01-14,24.341745376586914,24.494711474568152,24.05354553692245,24.173259238412005,195826400
2015-01-15,23.681102752685547,24.399383248375585,23.645632967050208,24.38608229018397,240056000
2015-01-16,23.49710464477539,23.849595354822647,23.321967985130645,23.727664233749223,314053200
2015-01-20,24.102323532104492,24.157746460869866,23.610167654048226,23.907233740371307,199599600
2015-01-21,24.286317825317383,24.62107095617923,24.00255112888712,24.15330149924548,194303600
2015-01-22,24.918148040771484,24.93366639250422,24.324014202274096,24.443727926229556,215185600
2015-01-23,25.046728134155273,25.21742999298039,24.72527416557457,24.89597771577307,185859200
2015-01-26,25.073328018188477,25.352660001314483,25.006821530740638,25.21521055439176,222460000
2015-01-27,24.195425033569336,24.935875977807996,24.171038818283535,24.922573329505678,382274800
2015-01-28,25.56327247619629,26.186227378641483,25.56327247619629,26.077597214719916,585908400
2015-01-29,26.359146118164062,26.423436920592042,25.618694886212186,25.787181068734693,337745600
2015-01-30,25.97340202331543,26.603005679197125,25.90467644184349,26.248299275082537,334982000
2015-02-02,26.299278259277344,26.418991946089463,25.73396560037746,26.170698395403257,250956400
2015-02-03,26.303720474243164,26.401263671853233,26.073160903883434,26.270466381055748,207662800
2015-02-04,26.505455017089844,26.71606311438626,26.22834043488918,26.2704623926231,280598800
2015-02-05,26.69464111328125,26.759185637251118,26.541069601144372,26.7124451524758,168984800
2015-02-06,26.469844818115234,26.763632651229667,26.363012106960742,26.71244158799873,174826400
2015-02-09,26.645675659179688,26.67238256646888,26.35856451948115,26.385273124818873,155559200
2015-02-10,27.15757942199707,27.186514170623198,26.743607052759444,26.745831496462507,248034000
2015-02-11,27.794118881225586,27.803021749787224,27.264410937172286,27.32450317740265,294247200
2015-02-12,28.145771026611328,28.372789901407252,27.947686895532566,28.056744050182502,297898000
2015-02-13,28.28376579284668,28.328278436550338,27.96549546602483,28.328278436550338,217088800
2015-02-17,28.45069122314453,28.684386851565183,28.248154785440164,28.37501768994175,252609600
2015-02-18,28.64877700805664,28.662130462538304,28.36611643583812,28.406178497331744,179566800
2015-02-19,28.588680267333984,28.717769308178198,28.56197336098585,28.595356993921015,149449600
2015-02-20,28.82237434387207,28.82237434387207,28.499653457078956,28.62651465154113,195793600
2015-02-23,29.60135269165039,29.60135269165039,28.857981190998352,28.938105289015088,283896400
2015-02-24,29.4166259765625,29.73489796822131,29.19405938517191,29.588003202840323,276912400
2015-02-25,28.66435432434082,29.28976939734613,28.52191181926601,29.280864830474275,298846800
2015-02-26,29.027137756347656,29.127292054691086,28.179159489691134,28.664353084202308,365150000
2015-02-27,28.590911865234375,29.060527608136557,28.54194693309501,28.93366299411255,248059200
2015-03-02,28.73111915588379,28.99597393092262,28.555293050994763,28.76673062394371,192386800
2015-03-03,28.791215896606445,28.826827368145587,28.508555359921896,28.702190613855443,151265200
2015-03-04,28.608707427978516,28.835726296270856,28.559745903539564,28.73334756867589,126665200
2015-03-05,28.134653091430664,28.65545827531268,27.98998441878047,28.617622349587695,226068400
2015-03-06,28.17693519592285,28.793444017765854,28.101263356309413,28.57755411361783,291368400
2015-03-09,28.297115325927734,28.837953890483007,27.834176424134036,28.47961985670529,354114000
2015-03-10,27.71176528930664,28.314920515992558,27.553743221625673,28.13464212997099,275426400
2015-03-11,27.2065486907959,27.76964208231661,27.177615635604525,27.76519149615213,275756000
2015-03-12,27.69841194152832,27.798567927648104,27.070774214428088,27.222119566256076,193450800
2015-03-13,27.507003784179688,27.909850462961522,27.282212752989896,27.687283875056004,207309200
2015-03-16,27.809701919555664,27.809701919555664,27.346764583378427,27.571555674706993,143497200
2015-03-17,28.274856567382812,28.33717493377613,27.965489178467312,28.02113081961108,204092400
2015-03-18,28.59313201904297,28.74670351988461,28.125742488103533,28.26595883797083,261083600
2015-03-19,28.377241134643555,28.76673267962886,28.354984814539783,28.65544938106163,183238000
2015-03-20,28.021135330200195,28.577550133156368,27.856436521356393,28.544166501534818,274780400
2015-03-23,28.31269645690918,28.455138942422373,28.159124962383117,28.292666278344058,150838800
2015-03-24,28.19696807861328,28.497431004034567,28.16803332875073,28.317154267611016,131369200
2015-03-25,27.46026611328125,28.225895749966426,27.46026611328125,28.16357737452431,206620800
2015-03-26,27.651674270629883,27.794116760651217,27.286665177694164,27.32227664922371,190291600
2015-03-27,27.43133544921875,27.75405636351956,27.355663614766957,27.72512331470832,158184800
2015-03-30,28.125730514526367,28.13240723814693,27.59824727388161,27.609376278614363,188398800
2015-03-31,27.69396209716797,28.152448749647554,27.678382503094827,28.063421770066014,168362400
2015-04-01,27.65389633178711,27.84752985904948,27.397944436591516,27.780759208807787,162485600
2015-04-02,27.892045974731445,27.945461482762074,27.64054633045754,27.82750145758893,128880400
2015-04-06,28.343856811523438,28.379468283392196,27.671706411460807,27.70286560032175,148776000
2015-04-07,28.04561996459961,28.515233965620876,28.038943237758097,28.4084029400596,140049200
2015-04-08,27.95435905456543,28.13241297833354,27.814142735780486,28.01000069348696,149316800
2015-04-09,28.16802406311035,28.172476345339447,27.745148945945807,28.010002004940247,129936000
2015-04-10,28.288209915161133,28.312692373019342,27.87868825289317,28.032258027219594,160752000
2015-04-13,28.23257064819336,28.615387139797868,28.17915514385127,28.5708711064243,145460400
2015-04-14,28.11016273498535,28.330503197261073,28.023361895360114,28.265958678402846,102098400
2015-04-15,28.21699333190918,28.294891302452985,28.045617796712808,28.1346447764979,115881600
2015-04-16,28.081228256225586,28.288215267615023,28.067874803248348,28.105710718716157,113476000
2015-04-17,27.765180587768555,28.074547995147125,27.700636076423987,27.943234529274136,207828000
2015-04-20,28.399499893188477,28.515233786494267,27.8586629477924,27.947689933899905,188217200
2015-04-21,28.245925903320312,28.533035301511646,28.19250870073043,28.51078068083827,129740400
2015-04-22,28.626514434814453,28.682156083705696,28.11461228384406,28.263731495340977,150618000
2015-04-23,28.860212326049805,29.027137285949443,28.519685679542306,28.555297152717507,183083600
2015-04-24,28.995981216430664,29.07388089787269,28.762285568201946,29.042721704515355,178103600
2015-04-27,29.52346420288086,29.630298638040404,29.18961423422666,29.447792358382642,387816800
2015-04-28,29.058298110961914,29.944112330430492,28.837959324998785,29.92630998893822,475696000
2015-04-29,28.630970001220703,29.287540854217855,28.55529816511329,28.969272216185253,253544400
2015-04-30,27.854211807250977,28.630968807003697,27.72734890644295,28.630968807003697,332781600
2015-05-01,28.699970245361328,28.96260067120811,27.88760329147223,28.065655601372377,234050400
2015-05-04,28.64432144165039,29.06052330317985,28.546391591878752,28.822375405226378,203953200
2015-05-05,27.998876571655273,28.588676652922196,27.99442428912783,28.52190599939661,197085600
2015-05-06,27.823055267333984,28.210320733308023,27.45581998326699,28.168032529661616,288564000
2015-05-07,27.995145797729492,28.17841268755224,27.718009170082315,27.885631387791218,175763600
2015-05-08,28.522594451904297,28.522594451904297,28.185114608413503,28.31250741348548,222201600
2015-05-11,28.2320499420166,28.50918485099784,28.077836963604977,28.471190892738576,168143200
2015-05-12,28.13148307800293,28.357213138843044,27.89681125439261,28.071138115295525,192640000
2015-05-13,28.16276741027832,28.42649309534573,28.131478066722977,28.194056753833664,138776800
2015-05-14,28.81985092163086,28.81985092163086,28.419793993535126,28.47566807574468,180814000
2015-05-15,28.779621124267578,28.940538742139225,28.654463734874764,28.846670700094613,152832000
2015-05-18,29.09697914123535,29.21543188827345,28.687980569086267,28.692451449243087,203531600
2015-05-19,29.070165634155273,29.25119709310559,28.97406045096111,29.208732250086047,178532800
2015-05-20,29.06792640686035,29.273542580713503,28.9070088081435,29.054517175347726,145819600
2015-05-21,29.36516761779785,29.418807937218617,29.016514067266897,29.070154386687662,158921600
2015-05-22,29.622190475463867,29.71829563306942,29.36740489546783,29.412106872185955,182384000
2015-05-26,28.96958351135254,29.704888100810432,28.857835383738582,29.635604807334932,282790400
2015-05-27,29.51045036315918,29.559619822667745,29.0656949025357,29.13050732991539,183332800
2015-05-28,29.452346801757812,29.490340769536083,29.300370930644732,29.470226917821137,122933200
2015-05-29,29.11709976196289,29.37859004232593,29.03217007063223,29.329420580006403,203538000
2015-06-01,29.17521095275879,29.36518420736777,29.0656999278781,29.117103131603393,128451200
2015-06-02,29.045578002929688,29.202024716623274,28.902540520369467,29.023227010852352,134670400
2015-06-03,29.081336975097656,29.264605574947947,29.032167517102838,29.20202688482415,123934000
2015-06-04,28.91147804260254,29.184143768776664,28.810905401701508,28.960647495537707,153800400
2015-06-05,28.7528018951416,28.985239991372325,28.687989459053906,28.942775142429205,142507200
2015-06-08,28.56282615661621,28.877956739709482,28.34603448543426,28.808670026111816,210699200
2015-06-09,28.47789192199707,28.62540026627402,28.075599692874718,28.316974348291698,224301600
2015-06-10,28.804197311401367,28.90700367493058,28.573994745418133,28.589639414451845,156349200
2015-06-11,28.739383697509766,29.09474193791442,28.714798972119876,28.87124567447265,141563600
